feature,anova_f_score
mfcc40_d1_c11_std,143.04888402540118
mfcc20_d1_c11_std,143.04888402540118
mfcc40_d2_c16_std,142.73539235571272
mfcc20_d2_c16_std,142.73539235571272
mfcc13_mfcc_c05_median,142.44951864604568
mfcc40_mfcc_c05_median,142.44951864604568
mfcc20_mfcc_c05_median,142.44951864604568
mfcc13_d2_c11_std,142.3268369817556
mfcc20_d2_c11_std,142.3268369817556
mfcc40_d2_c11_std,142.3268369817556
mfcc40_d1_c17_std,142.16539189527762
mfcc20_d1_c17_std,142.16539189527762
mfcc20_mfcc_c16_std,141.8829433058798
mfcc40_mfcc_c16_std,141.8829433058798
mfcc40_d2_c17_std,140.96962895001928
mfcc20_d2_c17_std,140.96962895001928
mfcc40_d2_c09_std,139.78076786054984
mfcc20_d2_c09_std,139.78076786054984
mfcc13_d2_c09_std,139.78076786054984
mfcc40_mfcc_c07_median,136.89663440681358
mfcc13_mfcc_c07_median,136.89663440681358
mfcc20_mfcc_c07_median,136.89663440681358
mfcc40_mfcc_c18_std,136.7455224645077
mfcc20_mfcc_c18_std,136.7455224645077
mfcc40_mfcc_c17_std,136.1936301100983
mfcc20_mfcc_c17_std,136.1936301100983
mfcc40_d2_c20_std,135.8664619532743
mfcc40_d2_c35_std,135.51418895539197
mfcc20_d2_c13_std,135.5135391145891
mfcc40_d2_c13_std,135.5135391145891
mfcc13_mfcc_c10_std,135.26192228778177
mfcc20_mfcc_c10_std,135.26192228778177
mfcc40_mfcc_c10_std,135.26192228778177
mfcc40_d2_c19_std,131.96015878584578
mfcc20_d2_c19_std,131.96015878584578
mfcc20_mfcc_c13_std,131.8769687069463
mfcc40_mfcc_c13_std,131.8769687069463
mfcc40_mfcc_c07_std,130.80023182743642
mfcc13_mfcc_c07_std,130.80023182743642
mfcc20_mfcc_c07_std,130.80023182743642
mfcc40_d2_c21_std,129.6050287138359
mfcc40_d2_c36_std,128.65475018752966
mfcc13_mfcc_c12_min,128.24556418731171
mfcc40_mfcc_c12_min,128.24556418731171
mfcc20_mfcc_c12_min,128.24556418731171
mfcc40_d1_c20_std,128.14723577991307
mfcc40_d1_c19_std,127.31793117153063
mfcc20_d1_c19_std,127.31793117153063
mfcc40_d2_c34_std,127.25049438872647
mfcc40_d2_c00_max,127.12209887051795
mfcc20_d2_c00_max,127.12209887051795
mfcc13_d2_c00_max,127.12209887051795
mfcc13_d1_c02_min,126.6853529334692
mfcc40_d1_c02_min,126.6853529334692
mfcc20_d1_c02_min,126.6853529334692
mfcc20_mfcc_c07_mean,126.61997371368662
mfcc40_mfcc_c07_mean,126.61997371368662
mfcc13_mfcc_c07_mean,126.61997371368662
mfcc13_mfcc_c05_mean,125.49940605388021
mfcc40_mfcc_c05_mean,125.49940605388021
mfcc20_mfcc_c05_mean,125.49940605388021
mfcc20_mfcc_c14_min,125.03613933578859
mfcc40_mfcc_c14_min,125.03613933578859
mfcc40_mfcc_c19_std,124.81290380331421
mfcc20_mfcc_c19_std,124.81290380331421
mfcc40_d2_c22_std,124.72509690806454
mfcc20_d1_c07_std,124.33831048668394
mfcc13_d1_c07_std,124.33831048668394
mfcc40_d1_c07_std,124.33831048668394
mfcc20_mfcc_c04_min,123.58629558237782
mfcc40_mfcc_c04_min,123.58629558237782
mfcc13_mfcc_c04_min,123.58629558237782
mfcc40_d2_c23_std,123.31013606233877
mfcc40_d2_c37_std,123.13981974497086
mfcc20_mfcc_c05_min,121.19873364441155
mfcc40_mfcc_c05_min,121.19873364441155
mfcc13_mfcc_c05_min,121.19873364441155
mfcc40_mfcc_c20_std,120.39751766869107
mfcc40_d2_c33_std,119.27066945148489
mfcc40_d2_c27_std,119.09570180647493
mfcc40_d1_c04_min,118.22831561161571
mfcc13_d1_c04_min,118.22831561161571
mfcc20_d1_c04_min,118.22831561161571
mfcc40_d1_c21_std,117.41432969560371
mfcc40_d2_c24_std,116.11950950791409
mfcc40_d1_c22_std,115.00698925251108
mfcc40_mfcc_median,114.1124049716909
mfcc40_d1_c35_std,113.99663976953853
mfcc40_d1_c23_std,113.93084328060604
mfcc40_mfcc_c20_min,113.90472331836753
mfcc40_mfcc_c13_min,113.63637342427359
mfcc20_mfcc_c13_min,113.63637342427359
mfcc40_d2_c29_std,113.29414664815845
mfcc40_mfcc_c21_std,112.79439357420236
mfcc40_d2_c25_std,112.74455746805477
mfcc40_d2_c28_std,112.01917892294077
mfcc40_d2_c26_std,111.49195611867192
mfcc40_mfcc_c35_std,111.1802995374976
mfcc40_mfcc_c23_std,110.876544981264
mfcc20_d1_c14_min,110.83606553141199
mfcc40_d1_c14_min,110.83606553141199
mfcc13_d2_c07_std,110.56911232949767
mfcc20_d2_c07_std,110.56911232949767
mfcc40_d2_c07_std,110.56911232949767
mfcc40_d2_max,110.43791001733291
mfcc40_d1_c36_std,110.40805046596239
mfcc20_d2_max,110.38412658854274
mfcc13_d2_max,110.38412658854274
mfcc40_d2_c20_max,109.79087788193094
mfcc40_d2_c38_std,109.35401412253302
mfcc13_d1_c00_min,109.34891129103539
mfcc40_d1_c00_min,109.34891129103539
mfcc20_d1_c00_min,109.34891129103539
mfcc40_d1_c16_min,107.50905055251864
mfcc20_d1_c16_min,107.50905055251864
mfcc40_d2_c17_max,107.00198033977385
mfcc20_d2_c17_max,107.00198033977385
mfcc40_mfcc_c36_std,106.82920596094375
mfcc40_d2_c15_max,106.10804891094728
mfcc20_d2_c15_max,106.10804891094728
mfcc13_mfcc_c09_min,105.99736763931386
mfcc40_mfcc_c09_min,105.99736763931386
mfcc20_mfcc_c09_min,105.99736763931386
mfcc40_d1_c37_std,105.517485201544
mfcc20_d2_c14_max,105.30752479763767
mfcc40_d2_c14_max,105.30752479763767
mfcc20_d1_c18_min,105.28041621328686
mfcc40_d1_c18_min,105.28041621328686
mfcc40_d1_c24_std,104.89784732430358
mfcc40_d1_c15_max,104.71989396732629
mfcc20_d1_c15_max,104.71989396732629
mfcc20_d1_c18_max,104.60445533637333
mfcc40_d1_c18_max,104.60445533637333
mfcc20_mfcc_c15_min,104.37628901146157
mfcc40_mfcc_c15_min,104.37628901146157
mfcc40_d1_c34_std,103.8353504942801
mfcc40_d1_c27_std,102.94041520359701
mfcc40_d2_c21_max,102.7897463180113
mfcc40_d1_c17_max,102.7871999247046
mfcc20_d1_c17_max,102.7871999247046
mfcc20_d1_c17_min,102.76475150156277
mfcc40_d1_c17_min,102.76475150156277
mfcc40_d2_c30_std,102.48557501704768
mfcc20_d2_c02_max,102.30624093249372
mfcc13_d2_c02_max,102.30624093249372
mfcc40_d2_c02_max,102.30624093249372
mfcc40_d2_c16_max,102.23155949522886
mfcc20_d2_c16_max,102.23155949522886
mfcc40_d2_c39_std,102.19827847117335
mfcc40_d2_c32_std,102.10788854615089
mfcc20_d1_c14_max,102.05205882609121
mfcc40_d1_c14_max,102.05205882609121
mfcc40_d2_c18_min,102.01471113904417
mfcc20_d2_c18_min,102.01471113904417
mfcc40_mfcc_c37_std,101.72975866226798
mfcc40_d2_c31_std,101.50164213137231
mfcc20_d1_c12_min,101.06984673077305
mfcc40_d1_c12_min,101.06984673077305
mfcc13_d1_c12_min,101.06984673077305
