feature,anova_f_score
mfcc40_d1_c13_std,143.19951588635857
mfcc20_d1_c13_std,143.19951588635857
mfcc20_d1_c11_std,143.04888113572736
mfcc13_d1_c11_std,143.04888113572736
mfcc40_d1_c11_std,143.04888113572736
mfcc20_d2_c16_std,142.73539432443982
mfcc40_d2_c16_std,142.73539432443982
mfcc13_mfcc_c05_median,142.44951272192222
mfcc20_mfcc_c05_median,142.44951272192222
mfcc40_mfcc_c05_median,142.44951272192222
mfcc20_d2_c11_std,142.32683905821486
mfcc13_d2_c11_std,142.32683905821486
mfcc40_d2_c11_std,142.32683905821486
mfcc20_d1_c17_std,142.16539185155273
mfcc40_d1_c17_std,142.16539185155273
mfcc40_mfcc_c16_std,141.88294384623265
mfcc20_mfcc_c16_std,141.88294384623265
mfcc40_d2_c17_std,140.96962592048848
mfcc20_d2_c17_std,140.96962592048848
mfcc20_d2_c09_std,139.78076796647787
mfcc13_d2_c09_std,139.78076796647787
mfcc40_d2_c09_std,139.78076796647787
mfcc40_mfcc_c07_median,136.89663018460226
mfcc13_mfcc_c07_median,136.89663018460226
mfcc20_mfcc_c07_median,136.89663018460226
mfcc40_mfcc_c18_std,136.7455231460393
mfcc20_mfcc_c18_std,136.7455231460393
mfcc40_mfcc_c17_std,136.1936311240393
mfcc20_mfcc_c17_std,136.1936311240393
mfcc40_d2_c20_std,135.86646839492505
mfcc40_d2_c35_std,135.51419101907035
mfcc20_d2_c13_std,135.51353629574794
mfcc40_d2_c13_std,135.51353629574794
mfcc40_mfcc_c10_std,135.261927901361
mfcc20_mfcc_c10_std,135.261927901361
mfcc13_mfcc_c10_std,135.261927901361
mfcc20_d2_c19_std,131.96015806483868
mfcc40_d2_c19_std,131.96015806483868
mfcc20_mfcc_c13_std,131.87696911894645
mfcc40_mfcc_c13_std,131.87696911894645
mfcc40_mfcc_c07_std,130.80023388489514
mfcc13_mfcc_c07_std,130.80023388489514
mfcc20_mfcc_c07_std,130.80023388489514
mfcc40_d2_c21_std,129.6050262474462
mfcc40_d2_c36_std,128.654748424841
mfcc40_mfcc_c12_min,128.24556423577826
mfcc20_mfcc_c12_min,128.24556423577826
mfcc13_mfcc_c12_min,128.24556423577826
mfcc40_d1_c20_std,128.14723747656544
mfcc40_d1_c19_std,127.31793055989515
mfcc20_d1_c19_std,127.31793055989515
mfcc40_d2_c34_std,127.25049598840172
mfcc20_d2_c00_max,127.1221044678646
mfcc40_d2_c00_max,127.1221044678646
mfcc13_d2_c00_max,127.1221044678646
mfcc13_d1_c02_min,126.68535228198678
mfcc20_d1_c02_min,126.68535228198678
mfcc40_d1_c02_min,126.68535228198678
mfcc20_mfcc_c07_mean,126.61997156185339
mfcc40_mfcc_c07_mean,126.61997156185339
mfcc13_mfcc_c07_mean,126.61997156185339
mfcc13_mfcc_c05_mean,125.49940543899997
mfcc20_mfcc_c05_mean,125.49940543899997
mfcc40_mfcc_c05_mean,125.49940543899997
mfcc40_mfcc_c14_min,125.03614396489375
mfcc20_mfcc_c14_min,125.03614396489375
mfcc40_mfcc_c19_std,124.81290379144335
mfcc20_mfcc_c19_std,124.81290379144335
mfcc40_d2_c22_std,124.72509590543716
mfcc40_d1_c07_std,124.33831326915264
mfcc20_d1_c07_std,124.33831326915264
mfcc13_d1_c07_std,124.33831326915264
mfcc13_mfcc_c04_min,123.5862983572542
