feature,anova_f_score
bert_emb_0536,55.19100014187401
bert_emb_0286,51.36440278279623
bert_emb_0042,50.202742973690626
bert_emb_0757,44.49261439910794
bert_emb_0515,44.41123894675278
bert_emb_0480,43.72394406843182
bert_emb_0085,43.490721122515104
bert_emb_0333,41.48365788610866
bert_emb_0710,40.55179975534846
bert_emb_0502,39.16752278779564
bert_emb_0366,39.03408764760722
bert_emb_0497,38.67605807802734
bert_emb_0628,37.97103694002832
bert_emb_0620,37.686026818801686
bert_emb_0589,37.07511700757697
bert_emb_0600,37.064110246022395
bert_emb_0353,36.06927885209882
bert_emb_0526,35.75109516673443
bert_emb_0597,35.58715031722484
bert_emb_0012,35.49083886260607
bert_emb_0196,35.09164091403174
bert_emb_0374,34.42225978104647
bert_emb_0498,34.019348906860664
bert_emb_0566,33.36323158726504
bert_emb_0051,33.35942806731225
bert_emb_0283,32.833152247727384
bert_emb_0486,32.82183139078349
bert_emb_0688,32.54067500114587
bert_emb_0232,32.53325801311479
bert_emb_0445,32.386051314585764
bert_emb_0519,32.30324562865003
bert_emb_0298,31.923672603244142
bert_emb_0514,31.89962667815916
bert_emb_0596,31.69795599570491
bert_emb_0195,31.620667620294924
bert_emb_0395,31.534125392434053
bert_emb_0363,31.476875800425073
bert_emb_0371,31.41861041969224
bert_emb_0083,31.273686669483038
bert_emb_0052,30.963233248348836
bert_emb_0570,30.92001664345151
bert_emb_0410,30.78530126823997
bert_emb_0148,30.784589277124887
bert_emb_0667,30.583923726340384
bert_emb_0525,30.44561272851443
bert_emb_0402,30.39147035883805
bert_emb_0341,30.1760800314442
bert_emb_0113,29.975702020577668
bert_emb_0675,29.743400690935577
bert_emb_0507,29.609009759248355
bert_emb_0420,29.528407434162244
bert_emb_0446,29.476688321767146
bert_emb_0166,28.947921338137533
bert_emb_0077,28.67953171879066
bert_emb_0205,28.659564086114433
bert_emb_0756,28.223846686112115
bert_emb_0022,28.223699721297375
bert_emb_0379,28.106704153882657
bert_emb_0032,28.102197071712364
bert_emb_0272,28.063121548128276
bert_emb_0646,28.01653927690304
bert_emb_0493,27.97903389345867
bert_emb_0352,27.63804539689154
bert_emb_0377,27.46907442232845
bert_emb_0175,27.43447637206831
bert_emb_0431,27.272644867497455
