2026-03-10 12:36:46 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue', ssl=False, log_file='/home/marcello/Speech-Emotion-Recognition/logs/controller.log')
2026-03-10 12:36:46 | ERROR | stderr | INFO:     Started server process [4491]
2026-03-10 12:36:46 | ERROR | stderr | INFO:     Waiting for application startup.
2026-03-10 12:36:46 | ERROR | stderr | INFO:     Application startup complete.
2026-03-10 12:36:46 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21001 (Press CTRL+C to quit)
2026-03-10 12:36:54 | INFO | stdout | INFO:     ::1:57236 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:36:54 | INFO | stdout | INFO:     ::1:57236 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:36:54 | INFO | stdout | INFO:     ::1:57236 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:36:58 | INFO | stdout | INFO:     ::1:60672 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:36:58 | INFO | stdout | INFO:     ::1:60672 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:36:58 | INFO | stdout | INFO:     ::1:60672 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:00 | INFO | stdout | INFO:     ::1:60684 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:00 | INFO | stdout | INFO:     ::1:60684 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:00 | INFO | stdout | INFO:     ::1:60684 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:02 | INFO | stdout | INFO:     ::1:60696 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:02 | INFO | stdout | INFO:     ::1:60696 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:02 | INFO | stdout | INFO:     ::1:60696 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:04 | INFO | stdout | INFO:     ::1:60708 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:04 | INFO | stdout | INFO:     ::1:60708 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:04 | INFO | stdout | INFO:     ::1:60708 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:06 | INFO | stdout | INFO:     ::1:60712 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:06 | INFO | stdout | INFO:     ::1:60712 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:06 | INFO | stdout | INFO:     ::1:60712 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:08 | INFO | stdout | INFO:     ::1:56398 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:08 | INFO | stdout | INFO:     ::1:56398 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:08 | INFO | stdout | INFO:     ::1:56398 - "POST /list_models HTTP/1.1" 200 OK
